Marché;CAC;;;;;;;;;;;
TECH;;1;;;;;;;;;;
iShares ST E 600 Technol Dis (XETR:EXV3);DASSAULT SYSTEMES SE (XPAR:DSY);;;;;;;;;;;
Clôture;Date;Clôture;Ouverture;Plus haut;Plus bas;Volume;Taux de Variation Mensuelle;Taux de Variation Trimestrielle;Taux de Variation Annuelle;Taux de variation du marché;Variance de la rentabilité du marché;Covarience Actif marché
 € 33,95 ;01/04/2015; € 13,52 ; € 12,44 ; € 14,29 ; € 12,21 ;8 694 220;0,065268787;0,229397853;Anné 5;-0,030459207;0,004260015;-0,001988036
 € 35,87 ;01/05/2015; € 14,38 ; € 13,85 ; € 14,60 ; € 13,37 ;6 571 144;0,062242309;;0,534457009;0,055012438;0,003874105;0,003424101
 € 33,22 ;01/06/2015; € 13,24 ; € 14,26 ; € 14,35 ; € 13,03 ;7 194 703;-0,082571858;Trimestre 1;;-0,076749187;0,006818112;0,006337323
 € 33,59 ;01/07/2015; € 13,83 ; € 13,15 ; € 14,58 ; € 12,74 ;6 975 063;0,043150902;0,023083753;;0,011076299;0,001862;0,000477952
 € 30,46 ;01/08/2015; € 12,42 ; € 13,79 ; € 14,07 ; € 11,78 ;6 491 880;-0,107387446;;;-0,097814056;0,011532063;0,010504002
 € 30,27 ;01/09/2015; € 12,84 ; € 12,27 ; € 13,39 ; € 11,97 ;8 955 021;0,033257222;Trimestre 2;;-0,006257224;0,001106043;-0,000208098
 € 33,58 ;01/10/2015; € 14,43 ; € 13,34 ; € 14,53 ; € 13,15 ;6 486 389;0,116744075;0,043534857;;0,103773529;0,013629179;0,012114945
 € 35,52 ;01/11/2015; € 15,01 ; € 14,28 ; € 15,12 ; € 14,24 ;5 360 353;0,039274019;;;0,056165266;0,001542449;0,002205836
 € 34,58 ;01/12/2015; € 14,80 ; € 15,17 ; € 15,39 ; € 14,19 ;4 992 442;-0,014091356;Trimestre 3;;-0,026820438;0,000198566;0,000377936
 € 33,26 ;01/01/2016; € 13,80 ; € 14,64 ; € 14,68 ; € 12,82 ;6 224 855;-0,069678527;-0,043520444;;-0,038920006;0,004855097;0,002711889
 € 31,74 ;01/02/2016; € 13,89 ; € 14,31 ; € 14,38 ; € 12,70 ;7 085 498;0,006643583;;;-0,046777759;4,41372E-05;-0,000310772
 € 32,50 ;01/03/2016; € 14,14 ; € 13,94 ; € 14,49 ; € 13,41 ;5 991 974;0,017550568;Trimestre 4;;0,023662374;0,000308022;0,000415288
 € 30,90 ;01/04/2016; € 13,95 ; € 13,79 ; € 14,60 ; € 13,66 ;5 595 350;-0,013671532;0,010578177;;-0,050483905;0,000186911;0,000690192
 € 32,51 ;01/05/2016; € 14,26 ; € 13,73 ; € 14,34 ; € 13,52 ;4 057 007;0,022262529;;Anné 6;0,05079155;0,00049562;0,001130748
 € 31,32 ;01/06/2016; € 13,40 ; € 14,29 ; € 14,40 ; € 12,89 ;6 744 433;-0,062045488;Trimestre 1;0,012080942;-0,037290863;0,003849643;0,00231373
 € 34,88 ;01/07/2016; € 14,75 ; € 13,72 ; € 14,87 ; € 13,17 ;5 659 795;0,095961063;0,057786063;;0,107656728;0,009208526;0,010330854
 € 34,80 ;01/08/2016; € 15,24 ; € 14,77 ; € 15,27 ; € 14,53 ;3 630 282;0,032671751;;;-0,002296212;0,001067443;-7,50213E-05
 € 35,68 ;01/09/2016; € 15,41 ; € 15,12 ; € 15,90 ; € 14,89 ;5 203 306;0,011090204;Trimestre 2;;0,024972921;0,000122993;0,000276955
 € 33,25 ;01/10/2016; € 14,53 ; € 15,41 ; € 15,55 ; € 14,10 ;5 755 488;-0,059198365;-0,01531788;;-0,070535541;0,003504446;0,004175589
 € 33,35 ;01/11/2016; € 14,51 ; € 14,44 ; € 14,60 ; € 13,70 ;5 589 386;-0,001101928;;;0,003003005;1,21425E-06;-3,3091E-06
 € 35,51 ;01/12/2016; € 14,46 ; € 14,40 ; € 14,56 ; € 13,55 ;5 379 888;-0,003451374;Trimestre 3;;0,062756575;1,1912E-05;-0,000216596
